airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-03-09,Bangalore,Delhi,09:45:00,00:30:00,885,1.0,In-flight meal not included,10562
Multiple Carriers,2019-05-09,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,9627
Air India,2019-06-12,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,9443
Jet Airways,2019-03-24,Kolkata,Bangalore,13:55:00,23:25:00,570,1.0,No Info,14231
Jet Airways,2019-03-24,Kolkata,Bangalore,19:45:00,08:10:00,745,1.0,No Info,14231
Air India,2019-05-21,Kolkata,Bangalore,14:30:00,12:30:00,1320,2.0,No Info,15107
Jet Airways,2019-03-01,Bangalore,Delhi,07:00:00,16:10:00,550,1.0,No Info,26890
Jet Airways,2019-04-03,Bangalore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,4544
Jet Airways,2019-06-09,Delhi,Cochin,09:25:00,12:35:00,1630,2.0,No Info,13882
Air India,2019-06-27,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,5201
Jet Airways,2019-06-24,Delhi,Cochin,22:50:00,12:35:00,825,1.0,In-flight meal not included,10262
Jet Airways,2019-03-09,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,No Info,17549
Air India,2019-06-27,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No Info,11942
Indigo,2019-05-15,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,7191
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,13014
Air India,2019-06-09,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No Info,3100
Spicejet,2019-05-15,Bangalore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,4319
Jet Airways,2019-05-15,Kolkata,Bangalore,08:25:00,20:45:00,740,1.0,No Info,14781
Goair,2019-03-03,Bangalore,Delhi,20:55:00,23:50:00,175,0.0,No Info,6722
Jet Airways,2019-06-09,Kolkata,Bangalore,21:10:00,08:15:00,665,1.0,No Info,14939
Spicejet,2019-05-09,Bangalore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,4319
Air Asia,2019-04-03,Kolkata,Bangalore,10:20:00,12:55:00,155,0.0,No Info,4107
Jet Airways,2019-06-01,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,In-flight meal not included,10262
Air India,2019-06-06,Kolkata,Bangalore,14:35:00,14:35:00,1440,1.0,No Info,6528
Multiple Carriers,2019-06-27,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,7198
Jet Airways,2019-05-21,Kolkata,Bangalore,10:20:00,17:35:00,435,1.0,In-flight meal not included,5608
Vistara,2019-06-03,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Air India,2019-03-06,Mumbai,Hyderabad,12:00:00,12:25:00,1465,1.0,No Info,14408
Jet Airways,2019-05-24,Kolkata,Bangalore,21:10:00,12:00:00,890,1.0,In-flight meal not included,9663
Indigo,2019-05-24,Kolkata,Bangalore,15:30:00,18:05:00,155,0.0,No Info,4804
Jet Airways,2019-05-12,Kolkata,Bangalore,17:00:00,09:45:00,1005,1.0,No Info,14151
Jet Airways,2019-05-06,Kolkata,Bangalore,21:10:00,12:00:00,890,1.0,In-flight meal not included,9663
Jet Airways,2019-03-06,Delhi,Cochin,23:05:00,19:45:00,1240,1.0,No Info,17024
Jet Airways,2019-05-18,Kolkata,Bangalore,16:30:00,23:35:00,425,1.0,In-flight meal not included,10844
Air India,2019-06-15,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5201
Jet Airways,2019-03-27,Delhi,Cochin,06:20:00,04:25:00,1325,2.0,No Info,12273
Air India,2019-05-18,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No Info,8372
Jet Airways,2019-05-06,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,8040
Multiple Carriers,2019-05-27,Delhi,Cochin,08:30:00,19:15:00,645,1.0,No Info,9149
Jet Airways,2019-03-12,Bangalore,Delhi,21:25:00,08:15:00,650,1.0,No Info,12547
Air India,2019-03-03,Delhi,Cochin,04:00:00,07:40:00,1660,1.0,No Info,14462
Air India,2019-06-15,Delhi,Cochin,03:50:00,19:15:00,925,1.0,No Info,9929
Jet Airways,2019-06-03,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Jet Airways,2019-04-03,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Spicejet,2019-03-09,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No Info,4391
Air India,2019-05-15,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,8372
Air Asia,2019-05-15,Kolkata,Bangalore,07:35:00,23:30:00,955,1.0,No Info,5192
Multiple Carriers,2019-06-09,Delhi,Cochin,07:00:00,19:00:00,720,1.0,No Info,12192
Jet Airways,2019-05-09,Bangalore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Air India,2019-05-09,Kolkata,Bangalore,20:30:00,08:55:00,745,1.0,No Info,10203
Jet Airways,2019-06-09,Kolkata,Bangalore,06:30:00,12:00:00,330,1.0,In-flight meal not included,10844
Indigo,2019-03-09,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,6885
Indigo,2019-06-01,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,8238
Air India,2019-03-21,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5674
Multiple Carriers,2019-05-09,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,15078
Air India,2019-06-06,Kolkata,Bangalore,17:30:00,20:25:00,1615,1.0,No Info,10413
Air India,2019-05-18,Kolkata,Bangalore,08:20:00,11:10:00,1610,2.0,No Info,11222
Multiple Carriers,2019-06-15,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No Info,18485
Jet Airways,2019-06-24,Bangalore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5769
Spicejet,2019-04-03,Kolkata,Bangalore,09:00:00,11:25:00,145,0.0,No Info,3873
Air India,2019-05-06,Delhi,Cochin,09:45:00,09:25:00,1420,,No Info,7480
Air India,2019-06-06,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5201
Air India,2019-03-06,Bangalore,Delhi,08:15:00,22:55:00,880,2.0,No Info,13942
Multiple Carriers,2019-03-03,Delhi,Cochin,12:50:00,01:35:00,765,1.0,No Info,18192
Air India,2019-03-27,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,7199
Jet Airways,2019-06-09,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,No Info,13292
Jet Airways,2019-06-06,Kolkata,Bangalore,18:55:00,19:50:00,1495,1.0,No Info,14571
Spicejet,2019-04-27,Bangalore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4991
Jet Airways,2019-06-12,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Indigo,2019-05-27,Bangalore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Jet Airways,2019-05-21,Delhi,Cochin,19:15:00,12:35:00,1040,1.0,In-flight meal not included,12898
Vistara,2019-05-21,Kolkata,Bangalore,17:00:00,10:45:00,1065,1.0,No Info,9187
Indigo,2019-06-09,Kolkata,Bangalore,06:20:00,10:20:00,240,1.0,No Info,4226
Jet Airways,2019-06-03,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4050
Indigo,2019-05-15,Bangalore,Delhi,01:30:00,04:15:00,165,0.0,No Info,3419
Jet Airways,2019-05-06,Kolkata,Bangalore,06:30:00,04:40:00,1330,1.0,In-flight meal not included,8586
Jet Airways,2019-06-01,Delhi,Cochin,22:50:00,12:35:00,825,1.0,In-flight meal not included,10262
Indigo,2019-06-12,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No Info,5894
Jet Airways,2019-05-21,Kolkata,Bangalore,08:25:00,16:20:00,475,1.0,No Info,14781
Multiple Carriers,2019-03-06,Delhi,Cochin,02:15:00,13:20:00,665,1.0,No Info,17057
Air India,2019-05-21,Delhi,Cochin,09:30:00,23:00:00,810,1.0,No Info,8907
Multiple Carriers,2019-05-15,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Jet Airways,2019-03-01,Bangalore,Delhi,22:50:00,23:00:00,1450,1.0,No Info,25735
Indigo,2019-06-09,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No Info,6628
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,18:50:00,1420,2.0,No Info,9483
Jet Airways,2019-03-24,Kolkata,Bangalore,21:10:00,10:05:00,775,1.0,No Info,14914
Jet Airways,2019-06-09,Bangalore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,7229
Indigo,2019-06-24,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5298
Jet Airways,2019-05-21,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,12898
Jet Airways,2019-04-24,Bangalore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Indigo,2019-03-01,Kolkata,Bangalore,20:25:00,23:05:00,160,0.0,No Info,4778
Indigo,2019-05-24,Kolkata,Bangalore,19:35:00,23:15:00,220,1.0,No Info,4226
Jet Airways,2019-06-27,Delhi,Cochin,13:25:00,19:00:00,1775,2.0,In-flight meal not included,11150
Air India,2019-05-21,Kolkata,Bangalore,12:00:00,07:55:00,1195,2.0,No Info,10676
Jet Airways,2019-05-27,Delhi,Cochin,14:00:00,04:25:00,865,1.0,In-flight meal not included,12898
Goair,2019-04-01,Bangalore,Delhi,20:55:00,23:40:00,165,0.0,No Info,4239
Goair,2019-04-03,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,5135
Air India,2019-05-06,Bangalore,Delhi,13:20:00,16:10:00,170,0.0,No Info,5228
Indigo,2019-03-21,Bangalore,Delhi,06:00:00,08:45:00,165,0.0,No Info,5734
Jet Airways,2019-03-03,Delhi,Cochin,11:30:00,18:50:00,440,1.0,No Info,18550
Spicejet,2019-05-15,Kolkata,Bangalore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Spicejet,2019-03-06,Delhi,Cochin,15:55:00,21:55:00,360,1.0,No Info,9748
Indigo,2019-04-15,Kolkata,Bangalore,22:15:00,00:50:00,155,0.0,No Info,4174
Air India,2019-05-09,Kolkata,Bangalore,12:00:00,07:55:00,1195,2.0,No Info,9416
Jet Airways,2019-06-12,Kolkata,Bangalore,17:00:00,18:00:00,1500,1.0,No Info,12692
Jet Airways,2019-03-21,Delhi,Cochin,15:00:00,18:50:00,1670,1.0,No Info,12767
Spicejet,2019-06-06,Delhi,Cochin,15:45:00,22:05:00,380,1.0,No Info,5583
Multiple Carriers,2019-05-09,Delhi,Cochin,11:30:00,01:30:00,840,1.0,No Info,15078
Jet Airways,2019-06-27,Mumbai,Hyderabad,08:45:00,10:15:00,90,0.0,No Info,8040
Vistara,2019-05-09,Bangalore,Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Multiple Carriers,2019-05-21,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No Info,7485
Air India,2019-05-12,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Indigo,2019-06-18,Bangalore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Indigo,2019-03-06,Kolkata,Bangalore,17:15:00,19:55:00,160,0.0,No Info,5618
Spicejet,2019-03-06,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No Info,7298
Jet Airways,2019-03-01,Bangalore,Delhi,08:00:00,15:15:00,435,1.0,No Info,22270
Air India,2019-06-06,Kolkata,Bangalore,20:45:00,23:20:00,155,0.0,No Info,4145
Indigo,2019-05-21,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Air India,2019-03-01,Bangalore,Delhi,05:50:00,09:15:00,1645,1.0,No Info,13439
Indigo,2019-05-01,Kolkata,Bangalore,15:15:00,20:05:00,290,1.0,No Info,4775
Air India,2019-05-18,Kolkata,Bangalore,16:50:00,13:45:00,1255,2.0,No Info,13432
Jet Airways,2019-03-27,Delhi,Cochin,13:00:00,04:25:00,925,1.0,No Info,12242
Indigo,2019-03-03,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,5755
Multiple Carriers,2019-05-27,Delhi,Cochin,17:45:00,01:30:00,465,1.0,No Info,6795
Indigo,2019-04-24,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,6171
Indigo,2019-05-06,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Jet Airways,2019-06-06,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,In-flight meal not included,10262
Multiple Carriers,2019-04-09,Delhi,Cochin,11:40:00,01:30:00,830,1.0,No Info,6645
Air India,2019-05-21,Kolkata,Bangalore,08:20:00,20:25:00,725,2.0,No Info,12324
Indigo,2019-03-15,Bangalore,Delhi,16:50:00,21:35:00,285,1.0,No Info,10406
Vistara,2019-05-24,Bangalore,Delhi,21:00:00,23:50:00,170,0.0,No Info,5613
Jet Airways,2019-06-15,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,No Info,13292
Air India,2019-06-09,Bangalore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6961
Indigo,2019-06-12,Bangalore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Jet Airways,2019-05-21,Kolkata,Bangalore,06:30:00,12:00:00,330,1.0,In-flight meal not included,9663
Air India,2019-05-21,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No Info,12257
Spicejet,2019-05-18,Kolkata,Bangalore,22:20:00,00:40:00,140,0.0,No Info,3873
Indigo,2019-05-15,Delhi,Cochin,11:55:00,22:30:00,635,1.0,No Info,6442
Indigo,2019-03-06,Kolkata,Bangalore,14:20:00,16:55:00,155,0.0,No Info,5618
Jet Airways,2019-04-01,Kolkata,Bangalore,16:30:00,23:35:00,425,1.0,No Info,12681
Jet Airways,2019-03-06,Bangalore,Delhi,07:00:00,19:10:00,730,1.0,No Info,16736
Air Asia,2019-06-06,Kolkata,Bangalore,19:55:00,22:25:00,150,0.0,No Info,4508
Multiple Carriers,2019-05-21,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,14848
Air India,2019-05-24,Kolkata,Bangalore,09:10:00,13:15:00,245,1.0,No Info,8996
Vistara,2019-06-12,Kolkata,Bangalore,07:10:00,18:50:00,700,1.0,No Info,8610
Jet Airways,2019-06-09,Kolkata,Bangalore,17:00:00,19:10:00,1570,1.0,In-flight meal not included,10539
Multiple Carriers,2019-03-06,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,15078
Multiple Carriers,2019-05-18,Delhi,Cochin,07:10:00,22:30:00,920,1.0,No Info,7740
Jet Airways,2019-03-12,Bangalore,Delhi,22:55:00,15:15:00,980,1.0,No Info,13817
Indigo,2019-05-21,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,6794
Air India,2019-05-18,Kolkata,Bangalore,08:20:00,18:30:00,610,2.0,No Info,10907
Multiple Carriers,2019-05-21,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,9315
Spicejet,2019-05-21,Kolkata,Bangalore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Indigo,2019-04-12,Kolkata,Bangalore,17:15:00,19:50:00,155,0.0,No Info,4174
Jet Airways,2019-06-09,Kolkata,Bangalore,20:00:00,16:20:00,1220,1.0,No Info,14571
Jet Airways,2019-05-21,Kolkata,Bangalore,08:25:00,19:50:00,685,1.0,No Info,14781
Air India,2019-04-24,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,6094
Air India,2019-05-18,Bangalore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Jet Airways,2019-06-15,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,In-flight meal not included,10262
Jet Airways,2019-05-18,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,13029
Multiple Carriers,2019-06-09,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,11200
Air India,2019-05-18,Bangalore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6121
Indigo,2019-06-12,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Indigo,2019-03-24,Bangalore,Delhi,21:20:00,00:15:00,175,0.0,No Info,4777
Air India,2019-06-24,Delhi,Cochin,03:50:00,19:15:00,925,1.0,No Info,8669
Indigo,2019-03-15,Bangalore,Delhi,14:25:00,19:25:00,300,1.0,No Info,9165
Indigo,2019-06-21,Bangalore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Indigo,2019-04-09,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No Info,6573
Jet Airways,2019-03-06,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,No Info,19329
Jet Airways,2019-05-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,5678
Air India,2019-05-09,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,6094
Jet Airways,2019-05-12,Kolkata,Bangalore,06:30:00,18:15:00,705,1.0,No Info,14781
Air India,2019-04-15,Kolkata,Bangalore,20:45:00,23:20:00,155,0.0,No Info,4145
Indigo,2019-06-09,Kolkata,Bangalore,08:10:00,13:00:00,290,1.0,No Info,5069
Vistara,2019-05-06,Kolkata,Bangalore,17:00:00,23:25:00,385,1.0,No Info,8085
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,18:50:00,1925,2.0,No Info,11869
Indigo,2019-03-06,Delhi,Cochin,16:10:00,22:20:00,370,1.0,No Info,7205
Jet Airways,2019-06-09,Delhi,Cochin,14:05:00,12:35:00,1350,2.0,No Info,13882
Multiple Carriers,2019-05-09,Delhi,Cochin,07:00:00,19:00:00,720,1.0,No Info,10197
Indigo,2019-03-27,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3858
Indigo,2019-03-09,Bangalore,Delhi,01:30:00,04:15:00,165,0.0,No Info,6860
Jet Airways,2019-06-01,Delhi,Cochin,22:50:00,12:35:00,825,1.0,No Info,14714
Jet Airways,2019-06-06,Kolkata,Bangalore,08:25:00,16:20:00,475,1.0,No Info,14571
Spicejet,2019-06-09,Kolkata,Bangalore,09:00:00,11:25:00,145,0.0,No Info,4174
Indigo,2019-05-18,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,6758
Indigo,2019-06-15,Bangalore,Delhi,13:00:00,15:50:00,170,0.0,No Info,3943
Jet Airways,2019-05-21,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210
Jet Airways,2019-03-24,Kolkata,Bangalore,13:55:00,16:20:00,1585,1.0,In-flight meal not included,10031
Indigo,2019-06-03,Bangalore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Goair,2019-04-21,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,7031
Goair,2019-05-06,Bangalore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3398
Goair,2019-06-06,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,4959
Air India,2019-06-01,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4667
Spicejet,2019-06-06,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Air India,2019-03-09,Bangalore,Delhi,22:00:00,11:05:00,785,1.0,No Info,8425
Jet Airways,2019-06-12,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,10262
Air India,2019-03-06,Mumbai,Hyderabad,12:45:00,19:25:00,1840,2.0,No Info,13253
Jet Airways,2019-05-12,Bangalore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5198
Air India,2019-03-21,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,3670
Air India,2019-04-03,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,2575
Jet Airways,2019-05-15,Kolkata,Bangalore,16:30:00,04:40:00,730,1.0,In-flight meal not included,10844
Jet Airways,2019-05-15,Kolkata,Bangalore,10:20:00,17:35:00,435,1.0,No Info,8355
Air Asia,2019-05-21,Kolkata,Bangalore,07:35:00,23:30:00,955,1.0,No Info,5192
Air India,2019-06-01,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Jet Airways,2019-05-27,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,In-flight meal not included,12898
Jet Airways,2019-03-24,Kolkata,Bangalore,13:55:00,09:15:00,1160,1.0,No Info,14231
Jet Airways,2019-06-12,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,10368
Jet Airways,2019-06-27,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,11118
Jet Airways,2019-05-12,Kolkata,Bangalore,16:30:00,16:20:00,1430,1.0,In-flight meal not included,10844
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,15129
Jet Airways,2019-06-01,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,No Info,14714
Multiple Carriers,2019-06-12,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No Info,7198
Indigo,2019-03-27,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No Info,3175
Indigo,2019-03-21,Delhi,Cochin,07:45:00,13:40:00,355,1.0,No Info,6101
Jet Airways,2019-06-06,Kolkata,Bangalore,06:30:00,20:50:00,860,2.0,In-flight meal not included,10118
Multiple Carriers,2019-06-15,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,13504
Vistara,2019-06-12,Bangalore,Delhi,09:45:00,12:35:00,170,0.0,No Info,4668
Jet Airways,2019-06-24,Bangalore,Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
